Orthogroup	Duplications (all)	Duplications (50% support)
OG0000488	2	2
OG0000489	2	2
OG0000490	1	1
OG0000491	2	2
OG0000492	4	4
OG0000493	2	2
OG0000494	2	2
OG0000495	2	2
OG0000496	1	1
OG0000497	2	2
OG0000498	4	4
OG0000499	2	2
OG0000500	2	2
OG0000501	2	2
OG0000502	2	2
OG0000503	3	3
OG0000504	2	2
OG0000505	2	2
OG0000506	4	4
OG0000507	2	2
OG0000508	1	1
OG0000509	4	4
OG0000510	4	4
OG0000511	2	2
OG0000512	2	2
OG0000513	2	2
OG0000514	2	2
OG0000515	1	1
OG0000516	2	2
OG0000517	2	2
OG0000518	1	1
OG0000519	2	2
OG0000520	2	2
OG0000521	4	4
OG0000522	2	2
OG0000523	2	2
OG0000524	4	4
OG0000525	2	2
OG0000526	2	2
OG0000527	1	1
OG0000528	2	2
OG0000529	3	3
OG0000530	1	1
OG0000531	1	1
OG0000532	1	1
OG0000533	2	2
OG0000534	1	1
OG0000535	2	2
OG0000536	1	1
OG0000537	4	4
OG0000538	1	1
OG0000539	2	2
OG0000540	2	2
OG0000541	1	1
OG0000542	2	2
OG0000543	1	1
OG0000544	3	3
OG0000545	2	2
OG0000546	2	2
OG0000547	2	2
OG0000548	2	2
OG0000549	2	2
OG0000550	1	1
OG0000551	2	2
OG0000552	2	2
OG0000553	2	2
OG0000554	1	1
OG0000555	2	2
OG0000556	1	1
OG0000557	1	1
OG0000558	2	2
OG0000559	2	2
OG0000560	2	2
OG0000561	1	1
OG0000562	2	2
OG0000563	2	2
OG0000564	2	2
OG0000565	2	2
OG0000566	2	2
OG0000567	1	1
OG0000568	2	2
OG0000569	1	1
OG0000570	2	2
OG0000571	2	2
OG0000572	3	3
OG0000573	3	3
OG0000574	3	3
OG0000575	3	3
OG0000576	3	3
OG0000577	3	3
OG0000578	3	3
OG0000579	3	3
OG0000580	2	2
OG0000581	3	3
OG0000582	3	3
OG0000583	3	3
OG0000584	3	3
OG0000585	3	3
OG0000586	3	3
OG0000587	2	2
OG0000588	3	3
OG0000589	3	3
OG0000590	3	3
OG0000591	3	3
OG0000592	3	3
OG0000593	3	3
OG0000594	3	3
OG0000595	3	3
OG0000596	3	3
OG0000597	3	3
OG0000598	3	3
OG0000599	3	3
OG0000600	3	3
OG0000601	3	3
OG0000602	3	3
OG0000603	3	3
OG0000604	2	2
OG0000605	3	3
OG0000606	3	3
OG0000607	3	3
OG0000608	3	3
OG0000609	3	3
OG0000610	3	3
OG0000611	3	3
OG0000612	3	3
OG0000613	3	3
OG0000614	3	3
OG0000615	3	3
OG0000616	3	3
OG0000617	3	3
OG0000618	3	3
OG0000619	3	3
OG0000620	3	3
OG0000621	3	3
OG0000622	3	3
OG0000623	3	3
OG0000624	3	3
OG0000625	3	3
OG0000626	4	4
OG0000627	4	4
OG0000628	4	4
OG0000629	4	4
OG0000630	4	4
OG0000631	4	4
OG0000632	4	4
OG0000633	4	4
OG0000634	4	4
OG0000635	4	4
OG0000636	4	4
OG0000637	4	4
OG0000638	4	4
OG0000639	4	4
OG0000640	4	4
OG0000641	4	4
OG0000642	4	4
OG0000643	4	4
OG0000644	4	4
OG0000645	4	4
OG0000646	4	4
OG0000647	4	4
OG0000648	4	4
OG0000649	4	4
OG0000650	4	4
OG0000651	4	4
OG0000652	4	4
OG0000653	4	4
OG0000654	4	4
OG0000655	4	4
OG0000656	4	4
OG0000657	4	4
OG0000658	4	4
OG0000659	4	4
OG0000660	4	4
OG0000661	4	4
OG0000662	4	4
OG0000663	4	4
OG0000664	4	4
OG0000665	4	4
OG0000666	4	4
OG0000667	4	4
OG0000668	4	4
OG0000669	4	4
OG0000670	4	4
OG0000671	4	4
OG0000672	4	4
OG0000673	4	4
OG0000674	4	4
OG0000675	4	4
OG0000676	4	4
OG0000677	4	4
OG0000678	4	4
OG0000679	4	4
OG0000680	4	4
OG0000681	4	4
OG0000682	4	4
OG0000683	4	4
OG0000684	4	4
OG0000685	4	4
OG0000686	4	4
OG0000687	4	4
OG0000688	4	4
OG0000689	4	4
OG0000690	4	4
OG0000691	4	4
OG0000692	4	4
OG0000693	4	4
OG0000694	4	4
OG0000695	4	4
OG0000696	4	4
OG0000697	4	4
OG0000698	4	4
OG0000699	4	4
OG0000700	4	4
OG0000701	4	4
OG0000702	2	2
OG0000703	1	1
OG0000704	1	1
OG0000705	1	1
OG0000706	3	3
OG0000707	1	1
OG0000708	3	3
OG0000709	3	3
OG0000710	3	3
OG0000711	1	1
OG0000712	3	3
OG0000713	2	2
OG0000714	3	3
OG0000715	3	3
OG0000716	3	3
OG0000717	1	1
OG0000718	3	3
OG0000719	3	3
OG0000720	1	1
OG0000721	3	3
OG0000722	1	1
OG0000723	3	3
OG0000724	3	3
OG0000725	3	3
OG0000726	3	3
OG0000727	3	3
OG0000728	3	3
OG0000729	1	1
OG0000730	3	3
OG0000731	3	3
OG0000732	1	1
OG0000733	3	3
OG0000734	2	2
OG0000735	2	2
OG0000736	1	1
OG0000737	3	3
OG0000738	1	1
OG0000739	2	2
OG0000740	1	1
OG0000741	3	3
OG0000742	3	3
OG0000743	1	1
OG0000744	2	2
OG0000745	2	2
OG0000746	3	3
OG0000747	1	1
OG0000748	1	1
OG0000749	1	1
OG0000750	1	1
OG0000751	2	2
OG0000752	3	3
OG0000753	3	3
OG0000754	2	2
OG0000755	3	3
OG0000756	1	1
OG0000757	1	1
OG0000758	1	1
OG0000759	1	1
OG0000760	1	1
OG0000761	1	1
OG0000762	3	3
OG0000763	2	2
OG0000764	3	3
OG0000765	3	3
OG0000766	3	3
OG0000767	1	1
OG0000768	1	1
OG0000769	3	3
OG0000770	3	3
OG0000771	1	1
OG0000772	2	2
OG0000773	3	3
OG0000774	2	2
OG0000775	1	1
OG0000776	3	3
OG0000777	3	3
OG0000778	2	2
OG0000779	3	3
OG0000780	1	1
OG0000781	3	3
OG0000782	1	1
OG0000783	3	3
OG0000784	1	1
OG0000785	3	3
OG0000786	3	3
OG0000787	1	1
OG0000788	1	1
OG0000789	2	2
OG0000790	1	1
OG0000791	3	3
OG0000792	2	2
OG0000793	3	3
OG0000794	3	3
OG0000795	1	1
OG0000796	1	1
OG0000797	1	1
OG0000798	3	3
OG0000799	3	3
OG0000800	2	2
OG0000801	1	1
OG0000802	2	2
OG0000803	3	3
OG0000804	2	2
OG0000805	1	1
OG0000806	2	2
OG0000807	2	2
OG0000808	1	1
OG0000809	3	3
OG0000810	3	3
OG0000811	3	3
OG0000812	1	1
OG0000813	3	3
OG0000814	1	1
OG0000815	2	2
OG0000816	1	1
OG0000817	3	3
OG0000818	2	2
OG0000819	3	3
OG0000820	1	1
OG0000821	1	1
OG0000822	1	1
OG0000823	1	1
OG0000824	3	3
OG0000825	2	2
OG0000826	1	1
OG0000827	1	1
OG0000828	2	2
OG0000829	3	3
OG0000830	1	1
OG0000831	3	3
OG0000832	2	2
OG0000833	3	3
OG0000834	2	2
OG0000835	2	2
OG0000836	1	1
OG0000837	3	3
OG0000838	1	1
OG0000839	1	1
OG0000840	3	3
OG0000841	3	3
OG0000842	1	1
OG0000843	3	3
OG0000844	1	1
OG0000845	1	1
OG0000846	2	2
OG0000847	3	3
OG0000848	1	1
OG0000849	3	3
OG0000850	1	1
OG0000851	1	1
OG0000852	3	3
OG0000853	3	3
OG0000854	1	1
OG0000855	3	3
OG0000856	1	1
OG0000857	3	3
OG0000858	3	3
OG0000859	3	3
OG0000860	3	3
OG0000861	3	3
OG0000862	3	3
OG0000863	3	3
OG0000864	1	1
OG0000865	3	3
OG0000866	3	3
OG0000867	3	3
OG0000868	3	3
OG0000869	1	1
OG0000870	1	1
OG0000871	3	3
OG0000872	3	3
OG0000873	1	1
OG0000874	3	3
OG0000875	3	3
OG0000876	3	3
OG0000877	1	1
OG0000878	1	1
OG0000879	1	1
OG0000880	1	1
OG0000881	1	1
OG0000882	3	3
OG0000883	3	3
OG0000884	1	1
OG0000885	1	1
OG0000886	3	3
OG0000887	1	1
OG0000888	1	1
OG0000889	1	1
OG0000890	1	1
OG0000891	3	3
OG0000892	3	3
OG0000893	3	3
OG0000894	1	1
OG0000895	1	1
OG0000896	2	2
OG0000897	3	3
OG0000898	1	1
OG0000899	3	3
OG0000900	2	2
OG0000901	3	3
OG0000902	3	3
OG0000903	1	1
OG0000904	3	3
OG0000905	3	3
OG0000906	1	1
OG0000907	3	3
OG0000908	1	1
OG0000909	3	3
OG0000910	3	3
OG0000911	1	1
OG0000912	1	1
OG0000913	3	3
OG0000914	1	1
OG0000915	1	1
OG0000916	1	1
OG0000917	1	1
OG0000918	1	1
OG0000919	3	3
OG0000920	1	1
OG0000921	1	1
OG0000922	3	3
OG0000923	3	3
OG0000924	1	1
OG0000925	3	3
OG0000926	1	1
OG0000927	1	1
OG0000928	1	1
OG0000929	1	1
OG0000930	1	1
OG0000931	3	3
OG0000932	1	1
OG0000933	3	3
OG0000934	1	1
OG0000935	3	3
OG0000936	3	3
OG0000937	1	1
OG0000938	3	3
OG0000939	1	1
OG0000940	1	1
OG0000941	3	3
OG0000942	2	2
OG0000943	1	1
OG0000944	3	3
OG0000945	2	2
OG0000946	1	1
OG0000947	1	1
OG0000948	1	1
OG0000949	1	1
OG0000950	1	1
OG0000951	1	1
OG0000952	1	1
OG0000953	3	3
OG0000954	2	2
OG0000955	1	1
OG0000956	3	3
OG0000957	1	1
OG0000958	3	3
OG0000959	1	1
OG0000960	1	1
OG0000961	1	1
OG0000962	1	1
OG0000963	1	1
OG0000964	3	3
OG0000965	2	2
OG0000966	1	1
OG0000967	1	1
OG0000968	1	1
OG0000969	3	3
OG0000970	3	3
OG0000971	3	3
OG0000972	1	1
OG0000973	1	1
OG0000974	1	1
OG0000975	1	1
OG0000976	1	1
OG0000977	1	1
OG0000978	1	1
OG0000979	1	1
OG0000980	1	1
OG0000981	1	1
OG0000982	3	3
OG0000983	1	1
OG0000984	1	1
OG0000985	1	1
OG0000986	2	2
OG0000987	1	1
OG0000988	1	1
OG0000989	3	3
OG0000990	1	1
OG0000991	1	1
OG0000992	1	1
OG0000993	3	3
OG0000994	1	1
OG0000995	1	1
OG0000996	3	3
OG0000997	1	1
OG0000998	1	1
OG0000999	3	3
OG0001000	2	2
OG0001001	3	3
OG0001002	1	1
OG0001003	2	2
OG0001004	1	1
OG0001005	3	3
OG0001006	1	1
OG0001007	1	1
OG0001008	1	1
OG0001009	1	1
OG0001010	1	1
OG0001011	3	3
OG0001012	1	1
OG0001013	3	3
OG0001014	1	1
OG0001015	1	1
OG0001016	1	1
OG0001017	1	1
OG0001018	1	1
OG0001019	1	1
OG0001020	1	1
OG0001021	3	3
OG0001022	1	1
OG0001023	1	1
OG0001024	1	1
OG0001025	2	2
OG0001026	2	2
OG0001027	1	1
OG0001028	1	1
OG0001029	1	1
OG0001030	1	1
OG0001031	1	1
OG0001032	1	1
OG0001033	1	1
OG0001034	2	2
OG0001035	1	1
OG0001036	1	1
OG0001037	1	1
OG0001038	1	1
OG0001039	1	1
OG0001040	1	1
OG0001041	1	1
OG0001042	2	2
OG0001043	1	1
OG0001044	1	1
OG0001045	3	3
OG0001046	1	1
OG0001047	1	1
OG0001048	2	2
OG0001049	1	1
OG0001050	1	1
OG0001051	2	2
OG0001052	1	1
OG0001053	1	1
OG0001054	1	1
OG0001055	1	1
OG0001056	1	1
OG0001057	1	1
OG0001058	3	3
OG0001059	1	1
OG0001060	1	1
OG0001061	2	2
OG0001062	1	1
OG0001063	1	1
OG0001064	2	2
OG0001065	1	1
OG0001066	1	1
OG0001067	1	1
OG0001068	1	1
OG0001069	2	2
OG0001070	1	1
OG0001071	1	1
OG0001072	1	1
OG0001073	2	2
OG0001074	1	1
OG0001075	1	1
OG0001076	1	1
OG0001077	1	1
OG0001078	3	3
OG0001079	1	1
OG0001080	3	3
OG0001081	1	1
OG0001082	1	1
OG0001083	1	1
OG0001084	3	3
OG0001085	1	1
OG0001086	1	1
OG0001087	3	3
OG0001088	1	1
OG0001089	1	1
OG0001090	1	1
OG0001091	1	1
OG0001092	1	1
OG0001093	1	1
OG0001094	1	1
OG0001095	1	1
OG0001096	1	1
OG0001097	1	1
OG0001098	1	1
OG0001099	1	1
OG0001100	2	2
OG0001101	1	1
OG0001102	1	1
OG0001103	1	1
OG0001104	1	1
OG0001105	2	2
OG0001106	1	1
OG0001107	1	1
OG0001108	1	1
OG0001109	1	1
OG0001110	1	1
OG0001111	1	1
OG0001112	2	2
OG0001113	1	1
OG0001114	3	3
OG0001115	1	1
OG0001116	1	1
OG0001117	1	1
OG0001118	1	1
OG0001119	1	1
OG0001120	1	1
OG0001121	1	1
OG0001122	1	1
OG0001123	1	1
OG0001124	1	1
OG0001125	1	1
OG0001126	1	1
OG0001127	1	1
OG0001128	1	1
OG0001129	1	1
OG0001130	2	2
OG0001131	1	1
OG0001132	1	1
OG0001133	1	1
OG0001134	1	1
OG0001135	1	1
OG0001136	1	1
OG0001137	1	1
OG0001138	1	1
OG0001139	1	1
OG0001140	1	1
OG0001141	1	1
OG0001142	1	1
OG0001143	1	1
OG0001144	1	1
OG0001145	1	1
OG0001146	1	1
OG0001147	1	1
OG0001148	1	1
OG0001149	1	1
OG0001150	1	1
OG0001151	1	1
OG0001152	1	1
OG0001153	1	1
OG0001154	1	1
OG0001155	1	1
OG0001156	1	1
OG0001157	1	1
OG0001158	1	1
OG0001159	1	1
OG0001160	1	1
OG0001161	1	1
OG0001162	1	1
OG0001163	1	1
OG0001164	1	1
OG0001165	1	1
OG0001166	1	1
OG0001167	1	1
OG0001168	1	1
OG0001169	1	1
OG0001170	1	1
OG0001171	1	1
OG0001172	1	1
OG0001173	1	1
OG0001174	1	1
OG0001175	1	1
OG0001176	1	1
OG0001177	1	1
OG0001178	1	1
OG0001179	1	1
OG0001180	1	1
OG0001181	1	1
OG0001182	1	1
OG0001183	1	1
OG0001184	1	1
OG0001185	1	1
OG0001186	1	1
OG0001187	1	1
OG0001188	1	1
OG0001189	2	2
OG0001190	1	1
OG0001191	1	1
OG0001192	2	2
OG0001193	1	1
OG0001194	1	1
OG0001195	1	1
OG0001196	1	1
OG0001197	1	1
OG0001198	1	1
OG0001199	1	1
OG0001200	1	1
OG0001201	1	1
OG0001202	1	1
OG0001203	1	1
OG0001204	1	1
OG0001205	1	1
OG0001206	1	1
OG0001207	1	1
OG0001208	1	1
OG0001209	1	1
OG0001210	1	1
OG0001211	2	2
OG0001212	2	2
OG0001213	2	2
OG0001214	2	2
OG0001215	2	2
OG0001216	2	2
OG0001217	2	2
OG0001218	2	2
OG0001219	2	2
OG0001220	2	2
OG0001221	2	2
OG0001222	2	2
OG0001223	2	2
OG0001224	2	2
OG0001225	2	2
OG0001226	2	2
OG0001227	2	2
OG0001228	2	2
OG0001229	2	2
OG0001230	2	2
OG0001231	2	2
OG0001232	2	2
OG0001233	2	2
OG0001234	2	2
OG0001235	2	2
OG0001236	2	2
OG0001237	2	2
OG0001238	2	2
OG0001239	2	2
OG0001240	2	2
OG0001241	2	2
OG0001242	2	2
OG0001243	2	2
OG0001244	2	2
OG0001245	2	2
OG0001246	2	2
OG0001247	2	2
OG0001248	2	2
OG0001249	2	2
OG0001250	2	2
OG0001251	2	2
OG0001252	2	2
OG0001253	2	2
OG0001254	2	2
OG0001255	2	2
OG0001256	2	2
OG0001257	2	2
OG0001258	2	2
OG0001259	2	2
OG0001260	2	2
OG0001261	1	1
OG0001262	2	2
OG0001263	2	2
OG0001264	2	2
OG0001265	2	2
OG0001266	2	2
OG0001267	2	2
OG0001268	2	2
OG0001269	2	2
OG0001270	2	2
OG0001271	2	2
OG0001272	2	2
OG0001273	2	2
OG0001274	2	2
OG0001275	2	2
OG0001276	2	2
OG0001277	2	2
OG0001278	2	2
OG0001279	2	2
OG0001280	2	2
OG0001281	2	2
OG0001282	2	2
OG0001283	2	2
OG0001284	2	2
OG0001285	2	2
OG0001286	2	2
OG0001287	2	2
OG0001288	2	2
OG0001289	2	2
OG0001290	2	2
OG0001291	2	2
OG0001292	2	2
OG0001293	2	2
OG0001294	2	2
OG0001295	2	2
OG0001296	2	2
OG0001297	2	2
OG0001298	2	2
OG0001299	2	2
OG0001300	2	2
OG0001301	2	2
OG0001302	2	2
OG0001303	2	2
OG0001304	2	2
OG0001305	2	2
OG0001306	2	2
OG0001307	2	2
OG0001308	2	2
OG0001309	2	2
OG0001310	2	2
OG0001311	2	2
OG0001312	2	2
OG0001313	2	2
OG0001314	2	2
OG0001315	2	2
OG0001316	2	2
OG0001317	2	2
OG0001318	2	2
OG0001319	2	2
OG0001320	2	2
OG0001321	2	2
OG0001322	2	2
OG0001323	2	2
OG0001324	2	2
OG0001325	2	2
OG0001326	2	2
OG0001327	2	2
OG0001328	2	2
OG0001329	2	2
OG0001330	2	2
OG0001331	2	2
OG0001332	2	2
OG0001333	2	2
OG0001334	2	2
OG0001335	2	2
OG0001336	2	2
OG0001337	2	2
OG0001338	2	2
OG0001339	2	2
OG0001340	2	2
OG0001341	2	2
OG0001342	2	2
OG0001343	2	2
OG0001344	2	2
OG0001345	2	2
OG0001346	2	2
OG0001347	2	2
OG0001348	2	2
OG0001349	2	2
OG0001350	2	2
OG0001351	2	2
OG0001352	2	2
OG0001353	2	2
OG0001354	2	2
OG0001355	2	2
OG0001356	2	2
OG0001357	2	2
OG0001358	2	2
OG0001359	2	2
OG0001360	2	2
OG0001361	2	2
OG0001362	2	2
OG0001363	2	2
OG0001364	2	2
OG0001365	1	1
OG0001366	2	2
OG0001367	2	2
OG0001368	2	2
OG0001369	2	2
OG0001370	2	2
OG0001371	2	2
OG0001372	2	2
OG0001373	2	2
OG0001374	2	2
OG0001375	2	2
OG0001376	2	2
OG0001377	2	2
OG0001378	2	2
OG0001379	2	2
OG0001380	2	2
OG0001381	1	1
OG0001382	2	2
OG0001383	2	2
OG0001384	2	2
OG0001385	2	2
OG0001386	2	2
OG0001387	2	2
OG0001388	2	2
OG0001389	2	2
OG0001390	2	2
OG0001391	2	2
