GeneName,NC_291_C_Pa_yr2,NC_294_C_Pa_yr2,NC_297_C_Pa_yr2,NC_300_C_Pa_yr2,NC_313_C_Pa_yr2,NC_316_C_Pa_yr2,NC_319_C_Pa_yr2,NC_322_C_Pa_yr2,NC_325_C_Pa_yr2,NO_265_La_Pa_yr2,NO_268_La_Pa_yr2,NO_271_La_Pa_yr2,NO_274_La_Pa_yr2,NO_277_La_Pa_yr2,NO_280_La_Pa_yr2,NO_289_La_Pa_yr2,NO_266_N_Pa_yr2,NO_272_N_Pa_yr2,NO_275_N_Pa_yr2,NO_278_N_Pa_yr2,NC_292_La_Pa_yr2,NC_295_La_Pa_yr2,NC_298_La_Pa_yr2,NC_311_La_Pa_yr2,NC_314_La_Pa_yr2,NC_317_La_Pa_yr2,NC_320_La_Pa_yr2,NC_326_La_Pa_yr2,NC_293_N_Pa_yr2,NC_312_N_Pa_yr2,NC_318_N_Pa_yr2,NC_327_N_Pa_yr2,NO_261_C_Pa_yr2,NO_264_C_Pa_yr2,NO_267_C_Pa_yr2,NO_270_C_Pa_yr2,NO_276_C_Pa_yr2,NO_279_C_Pa_yr2,NO_282_C_Pa_yr2,NO_288_C_Pa_yr2
GE911154_Past,6,5,0,0,0,2,1,2,5,0,0,1,1,0,2,1,2,0,1,0,0,1,0,0,2,3,0,1,0,0,1,0,1,1,1,0,1,1,0,1
GE911166_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GE911198_Past,12,19,16,24,11,15,9,4,30,0,3,5,2,5,3,21,6,0,12,13,0,8,2,0,10,23,0,10,0,0,8,16,23,22,20,1,16,22,7,13
GE911213_Past,0,2,1,4,2,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,2,4,1,0
GE911217_Past,4,7,6,8,1,6,1,1,5,1,0,1,1,5,0,3,1,0,5,4,0,1,5,0,8,8,0,2,0,0,5,6,6,6,6,0,4,10,3,6
GE911245_Past,0,5,1,2,3,1,1,4,3,0,0,2,0,0,0,3,1,0,2,0,0,7,2,0,1,1,0,0,0,0,2,1,2,0,1,1,2,2,4,3
GE911248_Past,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GE911251_Past,3,0,0,0,0,1,1,0,2,0,0,2,1,0,0,4,0,0,2,0,0,1,0,0,0,14,0,0,0,0,8,0,0,2,0,1,2,2,0,1
GE911262_Past,3,9,5,10,4,13,4,0,9,1,0,1,1,0,0,10,4,0,6,6,0,1,1,0,4,9,0,3,0,0,7,6,10,14,13,4,4,6,6,9
GE911268_Past,1,1,2,6,1,2,1,1,1,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,0,1
GE911270_Past,1,7,0,1,1,2,1,0,2,0,0,0,1,2,0,3,2,0,2,2,0,2,0,0,1,0,0,0,0,0,1,2,1,0,2,0,1,1,0,3
GE911271_Past,2,6,6,11,0,11,3,0,14,0,5,1,1,3,0,9,4,0,5,5,0,1,4,0,6,5,0,9,0,0,8,7,15,16,11,0,8,4,2,8
GE911306_Past,8,29,14,27,12,12,14,7,43,0,0,15,12,10,0,27,16,1,6,5,0,7,5,0,21,22,0,7,0,0,16,22,20,31,34,8,24,29,17,30
GE911315_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE911328_Past,3,1,2,3,2,0,0,0,3,1,22,3,4,3,11,4,2,13,1,1,6,6,4,12,3,7,0,1,18,5,4,0,1,3,2,2,0,1,2,0
GE911353_Past,4,2,2,7,1,0,0,0,3,0,3,2,1,0,0,1,1,0,0,0,0,0,3,0,2,1,0,5,0,0,2,1,3,1,3,1,0,5,1,4
GE911364_Past,3,5,0,7,5,3,4,0,6,0,0,2,1,3,0,3,0,0,1,4,0,7,3,0,6,1,0,0,0,0,1,7,6,1,8,1,5,1,0,6
GE911365_Past,3,8,0,5,7,5,2,2,12,0,0,4,1,1,0,5,2,0,4,2,0,4,0,0,6,5,0,4,0,0,0,3,4,3,4,3,0,3,6,7
GE911369_Past,1,4,1,5,0,3,2,2,7,0,0,2,0,2,0,2,2,0,2,7,0,0,0,0,3,2,0,4,0,0,1,1,1,11,0,1,2,0,1,8
GE911377_Past,1,15,9,8,5,11,4,10,23,1,0,6,3,2,0,16,7,0,8,7,0,3,5,0,12,4,0,6,0,0,7,6,3,14,3,3,14,18,4,14
GE911388_Past,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GE911389_Past,7,10,2,5,5,6,1,4,8,0,0,0,1,1,0,4,4,0,3,4,0,0,3,0,4,5,0,7,0,0,3,4,8,9,7,1,5,6,0,7
GE911408_Past,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
GE911433_Past,0,4,0,2,0,1,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,2,0,1,0,0,0,2,0,0,0,1,2,0,0,1
GE911444_Past,14,33,10,20,12,22,8,11,35,0,1,2,7,6,0,30,7,0,18,20,0,5,7,0,15,13,0,7,0,0,22,30,25,24,23,2,28,23,10,23
GE911455_Past,4,25,6,20,6,8,7,4,18,0,1,3,0,8,0,20,5,0,4,22,0,10,5,0,3,9,0,9,0,0,8,13,17,16,16,8,8,23,6,20
GE911485_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
