"gene","NC_291_C_Pa_yr2","NC_294_C_Pa_yr2","NC_297_C_Pa_yr2","NC_300_C_Pa_yr2","NC_313_C_Pa_yr2","NC_316_C_Pa_yr2","NC_319_C_Pa_yr2","NC_322_C_Pa_yr2","NC_325_C_Pa_yr2","NO_265_La_Pa_yr2","NO_268_La_Pa_yr2","NO_271_La_Pa_yr2","NO_274_La_Pa_yr2","NO_277_La_Pa_yr2","NO_280_La_Pa_yr2","NO_289_La_Pa_yr2","NC_295_La_Pa_yr2","NC_298_La_Pa_yr2","NC_314_La_Pa_yr2","NC_317_La_Pa_yr2","NC_326_La_Pa_yr2","NO_261_C_Pa_yr2","NO_264_C_Pa_yr2","NO_267_C_Pa_yr2","NO_270_C_Pa_yr2","NO_276_C_Pa_yr2","NO_279_C_Pa_yr2","NO_282_C_Pa_yr2","NO_288_C_Pa_yr2"
"GE915489_Past",1.02645368739963,4.89228417751086,3.5906010871328,1.661838121246,1.84096882895727,2.12524277934257,3.60319244916654,3.39959182209393,1.51296572981836,0,29.5204652350033,4.44109714302323,4.14839575377452,8.03880169766094,0,2.81506713817026,2.92347922325607,3.16659158448558,4.31300747900385,2.5634118557088,0.961388110672386,5.75228338803643,1.46187535465663,3.73234689678649,3.59604129510097,1.61811640829895,2.59871012286435,3.39124398060941,2.04836795730121
"GE915511_Past",7.18517581179738,3.4245989242576,4.30872130455936,8.30919060623001,3.68193765791455,5.66731407824684,2.7023943368749,6.79918364418786,2.11815202174571,0,5.90409304700066,5.55137142877903,1.38279858459151,2.00970042441523,0,3.75342285089368,1.94898614883738,4.22212211264744,5.03184205883782,3.204264819636,8.65249299605147,8.62842508205465,11.2077110523675,4.97646252904866,5.39406194265145,2.42717461244842,4.67767822115584,1.13041466020314,4.60882790392771
"GE915563_Past",19.5026200605929,17.122994621288,14.3624043485312,12.0483263790335,15.6482350461368,12.7514566760554,18.0159622458327,11.3319727403131,12.1037258385469,9.74575991409087,0,11.1027428575581,2.76559716918301,9.04365190986856,0,15.9520471162981,5.84695844651215,10.5553052816186,6.46951121850577,10.8945003867624,14.4208216600858,14.3807084700911,18.5170878256506,9.33086724196623,10.7881238853029,12.9449312663916,22.3489070566334,14.6953905826408,15.8748516690843
"GE915603_Past",7.18517581179738,13.2091672792793,9.33556282654527,11.2174073184105,11.9662973882223,9.20938537715112,5.40478867374981,7.93238091821917,8.47260808698282,29.2372797422726,0,7.77192000029064,4.14839575377452,9.04365190986856,0,5.63013427634052,4.87246537209346,16.8884884505897,5.75067663867179,10.2536474228352,5.76832866403432,10.9293384372692,9.2585439128253,9.95292505809731,7.19208259020194,16.1811640829895,17.6712288354776,7.91290262142195,9.21765580785542
"GE915609_Past",3.07936106219887,3.4245989242576,1.43624043485312,3.73913577280351,5.52290648687182,1.41682851956171,4.50399056145818,2.26639454806262,0.907779437891017,0,5.90409304700066,8.88219428604645,2.76559716918301,1.00485021220762,12.7471504602539,4.6917785636171,3.89797229767477,1.05553052816186,7.18834579833974,1.2817059278544,1.92277622134477,1.72568501641093,1.94916713954217,8.70880942583515,0,4.04529102074737,5.71716227030158,5.65207330101568,3.07255193595181
"GE915632_Past",17.4497126857936,22.993735634301,12.9261639136781,14.956543091214,21.1711415330086,14.876699455398,9.90877923520798,35.1291154949706,13.9192847143289,0,0,15.5438400005813,16.5935830150981,16.0776033953219,0,20.6438256799152,11.6939168930243,18.9995495069135,14.3766915966795,18.5847359538888,13.4594335494134,18.4073068417166,12.6695864070241,12.4411563226216,28.7683303608077,12.9449312663916,13.5132926388946,14.6953905826408,31.2376113488434
"GE915638_Past",6.15872212439775,5.87074101301303,5.74496173941248,6.23189295467251,5.52290648687182,5.66731407824684,9.00798112291635,6.79918364418786,4.84149033541876,0,5.90409304700066,3.33082285726742,1.38279858459151,5.02425106103809,0,4.22260070725539,1.94898614883738,5.2776526408093,5.75067663867179,4.4859707474904,9.61388110672386,9.20365342085829,1.94916713954217,11.1970406903595,1.79802064755048,5.66340742904632,8.31587239316593,3.39124398060941,5.63301188257832
"GE915658_Past",16.423258998394,12.7199388615282,12.9261639136781,12.463785909345,7.36387531582909,7.08414259780856,12.6111735720829,2.26639454806262,10.5907601087285,0,0,12.2130171433139,5.53119433836603,6.0291012732457,0,10.7910906963193,4.87246537209346,7.38871369713301,6.46951121850577,3.204264819636,17.3049859921029,11.5045667760729,21.4408385349638,13.0632141387527,7.19208259020194,11.3268148580926,11.954066565176,9.04331728162508,11.7781157544819
"GE915687_Past",11.2909905613959,5.87074101301303,2.87248086970624,4.57005483342651,1.84096882895727,10.6262138967128,4.50399056145818,2.26639454806262,3.63111775156407,0,0,4.44109714302323,1.38279858459151,0,0,5.16095641997881,0.974493074418692,5.2776526408093,2.15650373950192,1.9225588917816,1.92277622134477,1.72568501641093,4.38562606396988,3.73234689678649,3.59604129510097,1.61811640829895,6.75664631944732,2.26082932040627,1.0241839786506
"GE915701_Past",2.05290737479925,3.91382734200869,2.15436065227968,4.98551436373801,5.52290648687182,2.12524277934257,0.900798112291635,2.26639454806262,2.42074516770938,9.74575991409087,0,3.33082285726742,15.2107844305066,4.01940084883047,0,0.46917785636171,3.89797229767477,5.2776526408093,3.59417289916987,3.204264819636,2.88416433201716,4.60182671042914,7.30937677328313,3.73234689678649,7.19208259020194,3.2362328165979,4.15793619658297,3.39124398060941,4.09673591460241
